question,answer,difficulty,topic,data_science_question
What is the name of the planet that orbits the sun in the opposite direction?,,,,0
What's up with the name of this forum?,,,,0
How can we use text embeddings for recommendation systems?,Answer here,advanced,text classification,1
Would you prefer gradient boosting trees model or logistic regression when doing text classification with N-grams?,Answer here,intermediate,text classification,1
"What is the probability that two random numbers chosen from the set {1, 2, 3, 4, 5} will sum to 6?",Answer here,intermediate,classification,1
"What do you think of the movie, ""The Avengers""?",,,,0
What is the difference between Random Forest model and Gradient Boosting model?,Answer here,intermediate,feature selection,1
Do you have a favorite song?,,,,0
"How many people have you met in your life that you consider a ""friend""?",,,,0
How many times have you been in a situation where you were the only person who knew what was going on?,,,,0
How can you use CNN for text classification?,Answer here,advanced,text classification,1
What is the difference between a “realist” and a “pragmatist”?,,,,0
What is the difference between “normal” and “skewed” distribution?,Answer here,intermediate,supervised learning,1
What if we have a series with only one variable “y” measured at time t and a set of features at time t-1?,Answer here,intermediate,time series,1
"You are given a set of numbers, and you have to find the sum of the squares of all the numbers in the set. What is the time complexity of this algorithm?",Answer here,advanced,unsupervised learning,1
What is machine learning?,Answer here,beginner,unsupervised learning,1
What is the name of the game where you are given a deck of cards and you have to put them back in order?,,,,0
How do we handle missing values in linear models?,Answer here,intermediate,regularization,1
What is the name of the most common type of disease?,,,,0
What are the different models in gradient boosting trees?,Answer here,intermediate,feature selection,1
How do we deal with missing values in supervised learning algorithms?,Answer here,beginner,unsupervised learning,1
How do we choose the number of components in linear models?,Answer here,intermediate,regularization,1
"How we can incorporate implicit feedback (clicks, etc) into our recommender systems?","In comparison to explicit feedback, implicit feedback datasets lack negative examples. For example, explicit feedback can be a positive or a negative rating, but implicit feedback may be the number of purchases or clicks. One popular approach to solve this problem is named weighted alternating least squares (wALS) [Hu, Y., Koren, Y., & Volinsky, C. (2008, December). Collaborative filtering for implicit feedback datasets. In Data Mining, 2008. ICDM'08. Eighth IEEE International Conference on (pp. 263-272). IEEE.]. Instead of modeling the rating matrix directly, the numbers (e.g. amount of clicks) describe the strength in observations of user actions. The model tries to find latent factors that can be used to predict the expected preference of a user for an item.",intermediate,recommender systems,1
